cod,desc,cant,estante,nivel,costo_unitario
2306AM,Gavetero 3 cajones amarillo, -   ,,,
2306AZ,Gavetero 3 cajones azul, -   ,,,
2306AZM,Gavetero 3 cajones azul marino, -   ,,,
2306F,Gavetero 3 cajones fiusha , -   ,,,
2306N,Gavetero 3 cajones naranja,1,,,
2306O,Gavetero 3 cajones orquidea, -   ,,,
2306ROJO,Gavetero 3 cajones rojo,1,,,
2306ROSA,Gavetero 3 cajones rosa, -   ,,,
2306V,Gavetero 3 cajones verde, -   ,,,
2307AM,Hexagono grande amarillo, -   ,,,
2307AZ,Hexagono grande azul, -   ,,,
2307AZM,Hexagono grande azul marino, -   ,,,
2307F,Hexagono grande fiusha, -   ,,,
2307N,Hexagono grande naranja, -   ,,,
2307O,Hexagono grande orquidea, -   ,,,
2307ROJO,Hexagono grande rojo, -   ,,,
2307ROSA,Hexagono grande rosa, -   ,,,
2307V,Hexagono grande verde, -   ,,,
2308AM,Hexágono mediano amarillo, -   ,,,
2308AZ,Hexágono mediano azul, -   ,,,
2308AZM,Hexágono mediano azul marino, -   ,,,
2308F,Hexágono mediano fiusha, -   ,,,
2308N,Hexágono mediano naranja , -   ,,,
2308O,Hexágono mediano orquidea, -   ,,,
2308ROJO,Hexágono mediano rojo, -   ,,,
2308ROSA,Hexágono mediano rosa, -   ,,,
2308V,Hexágono mediano verde, -   ,,,
2309AM,Hexágono chico amarillo, -   ,,,
2309AZ,Hexágono chico azul, -   ,,,
2309AZM,Hexágono chico azul marino, -   ,,,
2309F,Hexágono chico fiusha, -   ,,,
2309N,Hexágono chico naranja, -   ,,,
2309O,Hexágono chico orquidea, -   ,,,
2309ROJO,Hexágono chico rojo, -   ,,,
2309ROSA,Hexágono chico rosa, -   ,,,
2309V,Hexágono chico verde, -   ,,,
2311,LIBRETA DIRECTORIO,1,,,
2313AM,Alhajero secreter amarillo, -   ,,,
2313AZ,Alhajero secreter azul, -   ,,,
2313AZM,Alhajero secreter azul marino, -   ,,,
2313F,Alhajero secreter fiusha, -   ,,,
2313N,Alhajero secreter naranja, -   ,,,
2313O,Alhajero secreter orquidea, -   ,,,
2313ROJO,Alhajero secreter rojo, -   ,,,
2313ROSA,Alhajero secreter rosa, -   ,,,
2313V,Alhajero secreter verde, -   ,,,
2314AM,Porta unipcos c/cajón amarillo, -   ,,,
2314AZ,Porta unipcos c/cajón azul, -   ,,,
2314AZM,Porta unipcos c/cajón azul marino, -   ,,,
2314F,Porta unipcos c/cajón fiusha, -   ,,,
2314N,Porta unipcos c/cajón naranja, -   ,,,
2314O,Porta unipcos c/cajón orquidea, -   ,,,
2314ROJO,Porta unipcos c/cajón rojo,1,,,
2314ROSA,Porta unipcos c/cajón rosa, -   ,,,
2314V,Porta unipcos c/cajón verde,1,,,
2315AM,Revistero amarillo, -   ,,,
2315AZ,Revistero azul , -   ,,,
2315AZM,Revistero azul marino, -   ,,,
2315F,Revistero fiusha, -   ,,,
2315N,Revistero naranja, -   ,,,
2315ROJO,Revistero rojo, -   ,,,
2315ROSA,Revistero rosa, -   ,,,
2315V,Revistero verde, -   ,,,
2317AM,Portatarjeta amarillo, -   ,,,
2317AZ,Portatarjeta azul, -   ,,,
2317AZM,Portatarjeta azul marino, -   ,,,
2317F,Portatarjeta  fiusha, -   ,,,
2317N,Portatarjeta naranja, -   ,,,
