cod,desc,cant,estante,nivel,costo_unitario
1905R,ECOBURO COMBO GDE. 4 CAJ. RAYAS,1,,,
1906C,ECOBURO COMBO 3 CAJONES CUADROS,,,,
1906FL,ECOBURO COMBO 3 CAJONES FLORES LILA,,,,
1906FM,ECOBURO COMBO 3 CAJONES FLORES MORADAS,1,,,
1906R,ECOBURO COMBO 3 CAJONES RAYAS,,,,
2001A,CORRECAJON MEDIANO AZUL,3,,,
2001R,CORRECAJON MEDIANO ROJO,2,,,
2001V,CORRECAJON MEDIANO VERDE,1,,,
2002,CONCENTRA 4 CAJON MEDIANO,3,,,
2003A,CORRECAJON GRANDE AZUL,4,,,
2003R,CORRECAJON GRANDE ROJO,2,,,
2003V,CORRECAJON GRANDE VERDE,2,,,
2005,CONCENTRA 2 CORRECAJON GRANDE,5,,,
2006,CORRECAJON CHICO,0,,,
2007,CONCENTRA CORRECAJON CHICO,2,,,
2008,CONCENTRA CD,1,,,
2010A,CORRE CD AZUL,1,,,
2010R,CORRE CD ROJO,1,,,
2010V,CORRE CD VERDE,,,,
2206,ACORDEON MEDIA CARTA TELA,,,,
2209,ARCHI.CARTA,,,,
2210,ARCHI.OFICIO,,,,
2211,ARCHI.ESQUELA,2,,,
2212,ARCHI.MEMORANDUM,1,,,
2213,ARCHI.HOGAR,,,,
2214,ARCHI.EJECUTIVO OFICIO,,,,
2215,ARCHI.CHEF,,,,
2217,ARCHIEJECUTIVO CARTA,,,,
2302,COFRE CHICO,,,,
2303,HEXAGONO 3 CHAROLAS,,,,
2304,LAPICERO C/DIVISIONES,42,,,
2305,DISPENSER UNIPECOS,3,,,
2306,GAVETERO 3 CAJONES,1,,,
2307,HEXAGONO GRANDE,2,,,
2308,HEXAGONO MEDIANO,,,,
2309,HEXAGONO CHICO,,,,
2310,LIBRETA AGENDA,,,,
2311,LIBRETA DIRECTORIO,,,,
2312,ORGANIZADOR PERSONAL,,,,
2313,ALHAJERO SECRETER,,,,
2314,PORTA UNIPECOS C/CAJON,,,,
2315,REVISTERO,,,,
2317,PORTA-TARJETA,,,,
2318,PORTA-RETRATO,1,,,
2319,CAJA LAPICERA,,,,
2320,CLINERA,,,,
2321,BASE DE YUTE 30X30,1,,,
2322,BASE 15X15 YUTE Y TERCIOPELO,2,,,
2323,ESTUCHE P/RELOJ,,,,
2324,ESTUCHE P/PLUMA,,,,
2326,PORTACASSET,,,,
2327,OCTAGONO,1,,,
2328,PORTACLIPS,,,,
2329,BASE YUTE Y TERCIOPELO 15X20,3,,,
2330,BASE YUTE Y TERCIOPELO 20X30,4,,,
2339,ESTUCHE 3 CARPETAS,1,,,
2401,PC-ARCHIVO 80 SUPER R 14/16 K MEDIDA 78X40X30,19,,,
2402,PC-ARCHIVO 70 OFICIO LARGA R 14/16 K  MEDIDA 60X35X25,14,,,
2403,PC ARCHIVO 50 OFICIO R 14/16 MEDIDA 50X35X25,17,,,
2404,PC ARCHIVO 40 CARTA R 14/16 MEDIDA 50X31X25,16,,,
2405,PC ARCHIVO 30 MIXTO 14/16 K MEDIDA 38X30X25,9,,,
2406,PC ARCHIVO 20 1/2 CARTA LARGO MEDIDA 50X23X16,25,,,
2407,PC ARCHIVO 10 1/2 CARTA MEDIDA 25X23X16,,,,
2409,PC ARCHIVO 60 CARTA LARGA R 14/16 MEDIDA 60X31X25,10,,,
2410,PC ARCHIVO 55,1,,,
2413,PC ARCHIVO 40  T/CARTA  CORR. BCO. 14/16KG MEDIDA 50X31X25,13,,,
2501,DC-70 ARCHIVO OFICIO LARGO MED.60X35X25,16,,,
2502,DC-60 ARCHIVO CARTA LARGA MED.60X31X25,3,,,
2503,DC-50 ARCHIVO OFICIO  MED.50X35X25,1,,,
2504,DC-40 ARCHIVO CARTA MED. 50X31X25,,,,
2505,DC ARCHIVO 30 MIXTA ECONIMICA MEDIDA 38X30X25,11,,,
2506,DC ARCHIVO 55 CARPETA MED. 50X35X29 R-9/11 KG.,8,,,
2602,ECO 40 ARCHIVO CARTA,,,,
2603,ECO-50 ARCHIVO OFICIO,0,,,
2804,ARCHIDIARIO,1,,,
2900,SOBRE JIFFY # 0,,,,
2901,SOBRE JIFFYLITE #1 MED.18.5X27.5,13,,,
2902,SOBRE JIFFYTLE #2 MED.21.X30.5,14,,,
2903,SOBRE JIFFYTLE #4 MED.24X37,,,,
2904,SOBRE JIFFYTLE #5 MED.26.5X40.5,0,,,
2905,SOBRE JIFFYTLE #7 MED.36.5X50.5,43,,,
2906,SOBRE JIFFYLITE #000,4,,,
2907,SOBRE MANILA T/CARTA,2,,,
2908,SOBRE MANILA T/OFICIO,62,,,
3001,PORTAFOLIO ECLIPSE 747 MED.95X63X4.5,,,,
3002,PORTAFOLIO EXTRAGRANDE MED.60X45X2.5,,,,
3003,PORTAFOLIO GDE. ECPLIPSE MED.52X38.5X3,,,,
3004,PORTAFOLIO T/OFICIO MED.39X29X3,,,,
3005,PORTAFOLIO MEDIANO MED.44X33X5,,,,
3006,PORTAFOLIO CHICO,,,,
3101,DESLIZABLE CARTA BOND,,,,
3102,DESLIZABLE CARTA KRAFT,,,,
3103,ARCHIGAVETA OFICIO LARGA,5,,,
3104,ARCHIGAVETA OFICIO LARGO TAPA SEPARADA,,,,
3105,ARCHIGAVETA OFICIO DOBLE,,,,
3106,ARCHIGAVETA OFICIO INDIVIDUAL,6,,,
3203,ARCHIVA OFICIO CORRUGADO BOND MED 35X10X26.5,4,,,
3204,ARCHIVA CARTA CORRUGADO BOND MED 31X10X26.5,16,,,
3205,ARCHIVA MINI,1,,,
3206,ARCHIVA GOB. 1 CORRUG. KRAFT. MED. 38X12X30,26,,,
3301,GUARDA PLANO MED.45.5X37X91,1,,,
3302,MALETIN GUARDAPLANOS MED.92.5X3.5X63,,,,
3304,ODONTOLOGICA MED.15.5X15.5X47,,,,
3401,MALETIN MICROCORRUGADO BLANCOMEDIDA 35X27X9.,11,,,
3402,MALETIN CORRUGADO BLANCO. MED.37.5X26X10.5,1,,,
3404,SOBRE ECOLOGICO CARTA MED.34.5X24.5X2.8,13,,,
3405,SOBRE ECOLOGICO OFICIO MED.36X25.5X3,7,,,
3501,REVIARCHIVO GRANDE MED.26.5X12X25.9,11,,,
3502,REVIARCHIVO CHICO MED.23X10X24,13,,,
3503T,REVISTERO CHICO TURQUESA,,,,
3503V,REVISTERO CHICO VINTAGE,,,,
3508,REVIARCHIVO CHICO COLOR,,,,
3509,REVIARCHIVO GDE. COLOR,,,,
3601,ARCHIVA GOB 1 ECONOMICA,13,,,
3602,ARCHIVA GOB 2 MEDIDA 38X19X30,,,,
3603,ARCHIVA GOB 3 MED 28X19X40,5,,,
3701,TUBO PORTAPLANO 1.09 CM,1,,,
3702,TUBO PORTAPLANO 91.5 CM,1,,,
3703,TUBO PORTAPLANO 78 CM,,,,
3704,TUBO PORTAPLANO 66 CMS,,,,
3705,TUBO PORTAPLANO 33.5 CMS,,,,
3706,TUBO DE CARTON MED 11CMS,,,,
3801,TARJETERO GRANDE MED.22X14X13,15,,,
3802,TARJETERO MEDIANO MED. 15.5X10.5X11,3,,,
3803,TARJETERO CHICO MED. 13.5X8.5X9,11,,,
3912,"CARPETA C/HERRAJE DE ARGOLLAS 3/4"" CARTA KRAFT",,,,
3913,"CARPETA C/HERRAJE DE ARGOLLA 1"" CARTA KRAFT ECO-005",,,,
3914,"CARPETA C/HERRAJE DE ARGOLLA 2"" CARTA KRAFT ECO-006",,,,
3915,"CARPETA C/HERRAJE DE ARGOLLA 3"" CARTA KRAFT ECO-089",,,,
3916,FOLDER CARTA KRAFT ECO-013,79,,,
3917,FOLDER OFICIO KRAFT ECO-014,31,,,
3918,CARPETA T/REGISTRADOR ESQUELA C/HERRAJE METAL ECO-017,,,,
3919,CARPETA T/REGISTRADOR OFICIO C/HERRAJE METAL KRAFT ECO-019,,,,
3920,REVISTERO CARTA RIGIDO KRAFT ECO-40,,,,
3921,REVISTERO OFICIO RIGIDO KRAFT ECO-41,,,,
3922,PORTA NOTAS KRAFT,,,,
3923,PORTA CLIPS KRAFT ECO-050,,,,
3924,PORTA LAPICES KRAFT,,,,
3925,PORTA TARJETAS KRAFT,3,,,
3926,SOBRE TIPO BOLSA CARTA KRAFT ECO-054,66,,,
3927,SOBRE TIPO BOLSA OFICIO KRAFT ECO-055,0,,,
3928,SOBRE TIPO BOLSA LEGAL KRAFT ECO-056,2,,,
3932,LIBRETA FORMA FRANCESA RAYA KRAFT,,,,
3933,LIBRETA 1/4 DE CARTA EMPASTADA KRAFT,,,,
3934,PLUMA ECOLOGICA BIODEGRADABLE DE MAIZ TRASLUCIDA ECO-135,,,,
3935,PLUMA ECOLOGICA DE PAPEL RECICLADO KRAFT ECO-128,,,,
3936,FOLDER CON PALANCA OFICIO KRAFT ECO-012,,,,
3941,ARCHIVA CARTA ECOLOGICA,10,,,
3942,ARCHIVA OFICIO ECOLOGICA,35,,,
3943,REVIARCHIVO GRANDE ECOLOGICO CORR. KRAFT,7,,,
3944,ARCHIVA GOB 1 ECOLOGICA,,,,
3945,PORTARETRATO KRAFT ECOLOGICO,,,,
3946,SOBRE TIPO BOLSA KRAFT 1/2 CARTA MED 14.5X22,,,,
4002,POLIPACK 1/8 X105,,,,
4004,BURBUJA DE AIRE CHICA 3/16 (120 mts),0,,,
4005,BURBUJA DE AIRE GDE 1/2 (60 mts),0,,,
4101,MIC PACK(POR BOLSA),0,,,
4201,ROLLO CART�N CORRUGADO,0,,,
4202,ROLLO-MICROKRAFT  100 MTS.,0,,,
4203,MICRO COLOR,7,,,
4205,POLIPACK 1/8 X105 de 1.00 mt Altura,0,,,
4206,SERVICIO DE EMPAQUE,0,,,
4207,LAMINA DE CORRUGADO 29 ECT,0,,,
4208,LAMINA DE CORRUGADO 29 ECT,0,,,
4209,LAMINA DOBLE CORRUGADO,1,,,
4211,LAMINA MICRO BOND Y KRAFT,68,,,
4212,L�MINA MICRO BOND Y KRAFT,9,,,
4213,L�MINA CAPLE,3,,,
4214,LAMINA DE PLASTICO BLANCA MED.1.22X1.22,,,,
4215,LAMINA DE PLASTICO NEGRA MED.1.40X1.22,1,,,
4217,SEPARADOR P/12 BOTELLAS 29 ECT,10,,,
4226,LAMINA CORRUGADO 2X2.10 16 KG,,,,
4301,ROLLO PAPELKRAFT (PRECIO X KILO) 1.25,31,,,
4302,ROLLO PAPELKRAFT(PRECIO X KILO) 90,,,,
4303,ROLLO PAPELKRAFT(PRECIO X KILO) 60,26,,,
4304,ROLLO PAPELKRAFT(PRECIO X KILO) 1.00,,,,
4305,PAPELKRAFT 1.25 X METRO (180 MTS APROX),0,,,
4401C,CINTA PLASTICA CHICA 48X50 CANELA,7,,,
4401T,CINTA PLASTICA CHICA 48X50 TRANSPARENTE,,,,
4402C,CINTA PLASTICA MEDIANA 48X100 CANELA,14,,,
4402T,CINTA PLASTICA MEDIANA 48X100 TRANSPARENTE,,,,
4403C,CINTA PLASTICA GDE. 48X150 CANELA,7,,,
4403T,CINTA PLASTICA GDE. 48X150 TRANSPARENTE,2,,,
4404,DESPACHADOR DE CINTA,2,,,
4405,ENGOMADO 3 PULG 65 MTS APROX,4,,,
4406,ENGOMADO 2.5 PULG 65MTS APROX,2,,,
4407,ENGOMADO 2 PULG 65MTS APROX,,,,
4408,ENGOMADO  1 PULG 65MTS APROX.,1,,,
4412,CINTA BLANCA 48 X 150 IMPRESI�N FRAGIL,1,,,
4502,SELLOS DE 1/2,1999,,,
4503,FLEJADORA,1,,,
4504,PINZAS P/FLEJAR,1,,,
4507,FLEJE 1/2 NEGRO PRECIO X KILO,6.68,,,
4601,CUTER GDE. ECONOMICO,5,,,
4603,CUTER CHICO,5,,,
4604,MARCADOR NEGRO DE ACEITE,7,,,
4605,SILICATO DE SODIO GALON 4 LTS.,1,,,
4606,RAFIA 1K APROX.,,,,
4609,ROLLO DE BLISTER 18�� X 1200 PIES CALIBRE 50 (365.76 MTS),,,,
4612A,ETIQUETA ARRIBA,32,,,
4612C,ETIQUETA COPA,75,,,
4612F,ETIQUETA FRAGIL,15,,,
4612HM,ETIQUETA HECHO EN MEXICO,74,,,
4612P,ETIQUETA PARAGUAS,74,,,
4613,ESQUINERO 2X2X1MT CALIBRE 120 MM 3,23,,,
4614,BOLA PAPEL ARROZ POR METRO,178,,,
4615,BOLA PAPEL ARROZ 200 MTS. APROX. 3 KILOS,,,,
4618,ETIQUETA REMITENTE-DESTINO (JUEGO),14,,,
4619,CINTA MASKING TAPE 18X50,,,,
4620,CINTA MASKING TAPE 24X50,,,,
4625,BLISTER 5�� X 1500 PIES CALIBRE 80,2,,,
4626,DESPACHADOR DE PELICULA ESTIRABLE,1,,,
4702,LE-E7 ESTANTERA  46X16X13,10,,,
4703,LE-E6 ESTANTERA 32X11X11,13,,,
4704,LE-E5 ESTANTERA 30X30X11,2,,,
4705,LE-E4 ESTANTERA 30X15X20,23,,,
4706,LE-E3 ESTANTERA 30X15X11,16,,,
4707,LE-E2 ESTANTERA 30X10X11,21,,,
4708,LE-01 ESTANTERA 30X5X11,3,,,
4709,LE-E3 ESTANTERA ECONOMICA,,,,
4710,ORDENADOR DE CAJONES,24,,,
4801,CZ-06 CAJA SEIS PARES MED.32X26X28 R-7,17,,,
4802,CZ-12 DOCE PARES MED.33X27X55 R-7,20,,,
4803,CZ-18 DIECIOCHO PARES MED.48X27X55 R-7,4,,,
4804,CZ-24 VEINTICUATRO PARES MED.48X35X55 R-7,21,,,
4805,CZ-36 TREINTA Y SEIS PARES MED.53X48X55 R-7,6,,,
4806,CZ-48 CUARENTA Y OCHO PARES MED.54X54X65 R-7,,,,
4807,CAJA BOTA GDE. MED.43X34X11,18,,,
4808,CAJA BOTA CHICA MED.31X20.5X11,26,,,
4810,CAJA ZAPATO GRANDE MED.32X21X11,0,,,
4811,CAJA ZAPATO CHICA MED.28X18X10,,,,
4812,CZ-24 DC VEINTICUATRO PARES MED.48X35X55,,,,
4900,CR-98 DC CAJA REGULAR GRAMAJE11 DOBLE CORRUG. MED.84X50X83,6,,,
4901,CR-90 CAJA REGULAR GRAMAJE 11 MED.90X60X50,,,,
4902,CR-85 CAJA REGULAR GRAMAJE 9 MED.70X40X40,,,,
4902SG,CR-85 CAJA REGULAR S/G MED.70X40X40,,,,
4903,CR-80 CAJA REGULAR GRAMAJE 11 MED.50X40X50,,,,
4904,CR-70 CAJA REGULAR MED.55X45X35,,,,
4904SG,CR-70 CAJA REGULAR S/G MED.55X45X35,3,,,
4905,CR-60 CAJA REGULAR GRAMAJE 14 MED.62X37X25,21,,,
4905SG,CR-60 CAJA REGULAR S/G MED.62X37X25,,,,
4906,CR-50 CAJA REGULAR MED.50X40X25,5,,,
4906SG,CR-50 CAJA REGULAR S/G MED.50X40X25,1,,,
4907,CR-75DCAJA REGULAR GRAMAJE MED.80X50X50,5,,,
4908,CR-45 CAJA REGULAR GRAMAJE 14 MED.60X30X25,7,,,
4908SG,CR-45 CAJA REGULAR S/G MED.60X30X25,26,,,
4909,CR-40 CAJA REGULAR MED.40X30X40,0,,,
4909SG,CR-40 CAJA REGULAR S/G MED.40X30X40,1,,,
4910,CR-30 CAJA REGULAR GRAMAJE 7 MED.45X30X30,,,,
4910SG,CR-30 CAJA REGULAR S/G MED.45X30X30,4,,,
4911,CR-30N CAJA REGULAR NAVIDE�A MED.45X30X30,,,,
4912,CR-20 CAJA REGULAR GRAMAJE 7 MED.40X30X30,0,,,
4912SG,CR-20 CAJA REGULAR S/G MED.40X30X30,5,,,
4913,CR-15 CAJA REGULAR GRAMAJE 14 MED.30X20X20,0,,,
4914,CR-10 CAJA REGULAR GRAMAJE 7 MED.40X30X20,0,,,
4914SG,CR-10 CAJA REGULAR S/G MED.40X30X20,6,,,
4915,CR-03 CAJA REGULAR GRAMAJE 7 MED.30X15X20,0,,,
4916,CR-01 CAJA REGULAR GRAMAJE 7 MED.19X15X15,5,,,
4917,CR-02 CAJA REGULAR GRAMAJE 7/9 MED.20X16X13,0,,,
4918,CR-75 CAJA REGULAR GRAMAJE 7/9 MED.80X50X50,1,,,
4919,CR-05 CAJA REGULAR GRAMAJE 7/9 MD.14X14X28,2,,,
4920,CR-08 CAJA REGULAR GRAMAJE 7/9 MED.25X16X16,0,,,
4921,CR-04 CAJA REGULAR GRAMAJE 7 MED.32X22X13,0,,,
4922,CR-CUBO 60X60X60,0,,,
4923,CR-50DC CAJA REGULAR MED.50X40X25,19,,,
4924,CR-09 CAJA REGULAR R- 9 KG MED.38X26.5X12,0,,,
4925,CR-25 CUBO  MED.30X30X30,1,,,
4925SG,CR-25 CAJA REGULAR S/G MED.30X30X30,,,,
4926,CR-35 CUBO MED.45X45X45,,,,
4927,GOBIERNO CHICO MED.29X24X30,39,,,
4928,GOBIERNO GRANDE MED.36.5X26X29,10,,,
4929,GOBIERNO SUPER MED.46.5X36.5X40,9,,,
4930,SERFIN MED.60X30X30,29,,,
4930SG,SERFIN S/G MED.60X30X30,11,,,
4931,PAST. KRAFT ECONOMICA MED.30X30X14,3,,,
4932,CR-63 CAJA REG. R.9/11KG MED.63X36X26,7,,,
4934,CR-85 DC MED. 70X40X40 DOBLE CORRUGADO,3,,,
4935,CAJA GOBIERNO CHICO NAVIDE�A MED.29X24X30,,,,
4936,CR-12 CAJA REGULAR MED.15X15X95cm R-7kg,17,,,
5003,CR 57 CAJA P/EMPAQUE MED. 1.00X60X50 R 9,5,,,
5015,CAJA ANGELITO CHICA,,,,
5020,CAJA CORONA MEDIDA 60X22X60,13,,,
5021,CAJA PARA ARBOL DE NAVIDAD,13,,,
5023,CAJA PARA CORONA MEDIDA 80X20X80,12,,,
5101,ER-00 CAJA REGALO MED.14X9.5X2.5,9,,,
5102,ER-01 CAJA REGULAR 14PTS MED.14.5X12.5X5,103,,,
5103,ER-02 CAJA REGALO 14PTS MED.17X12.5X5,80,,,
5104,ER-03 CAJA REGALO 14PTS MED.20X14X5,91,,,
5105,ER-04 CAJA REGALO 14PTS MED. 13X13X10,82,,,
5106,ER-04E CAJA  4 ESPECIAL 14PTS MED.8X8X8,76,,,
5108,ER-05 CAJA REGALO 14PTS MED.22X16X5,63,,,
5109,ER-05V CAJA 5 C/VENTANA,0,,,
5110,ER-06 CAJA REGULAR 14PTS MED.25.5X20X6.5,0,,,
5111,ER 06 HAPPY BIRTHDAY,16,,,
5111B,ER 06 BESOS,19,,,
5111L,ER 06 LOVE,20,,,
5112A,ER 06 BEBE AZUL,15,,,
5112JR,ER-06 NI�A JIRAFA,,,,
5112JV,ER-06 NI�O JIRAFA,,,,
5112O,ER-06 OSO BEBE NEW BABY,3,,,
5112OA,ER-06 BEBE OSO AZUL,,,,
5112OR,ER-06 BEBE OSO ROSA,,,,
5112OV,ER-06 BEBE OSO VERDE,,,,
5112R,ER 06 BEBE ROSA,21,,,
5113,ER-06V CAJA 6 C/VENTANA 14PTS MED.25.5X20X6.5,32,,,
5114A,ER 06 AZUL,,,,
5114R,ER 06 ROJO,37,,,
5114V,ER 06 VERDE,4,,,
5115,ER-07 CAJA REGALO MED.24X14X8 CON TAMBOR,69,,,
5116,ER-08 CAJA REGALO 14PTS MED.28X20X3,103,,,
5117,ER-09 CAJA REGALO 14PTS MED.11X6.5X3,107,,,
5118A,ER-09 AZUL,154,,,
5118D,ER-09 DORADO,122,,,
5118P,ER-09 PLATA,98,,,
5118R,ER-09 ROJO,131,,,
5118RP,ER-09 ROSA PASTEL,,,,
5118V,ER-09 VERDE,57,,,
5119,ER-10 CAJA REGALO 18PTS MED.23X15.5X12.5,60,,,
5120,ER-11 CAJA REGALO 18PTS MED.39.5X24.5X9,33,,,
5121A,ER 11 COLOR AZUL,5,,,
5121R,ER-11 COLOR ROJO,,,,
5121V,ER 11 COLOR VERDE,,,,
5122,ER-11E CAJA REGALO 18PTS MED.35X21X9,165,,,
5122EA,ER-11E ELEFANTE AZUL,,,,
5122ER,ER-11E ELEFANTE ROSA,,,,
5123,ER-12 CAJA REGALO 14PTS MED.11X80X2.5,62,,,
5124,ER 13 MED.36X23X5.5,0,,,
5125A,ER 13 COLOR AZUL,,,,
5125R,ER 13 COLOR ROJO MED.36X23X5.5,,,,
5125V,ER 13 COLOR VERDE,1,,,
5126,ER-14 CAJA REGALO 16PTS MED.26.5X10X7,133,,,
5127,ER-14 CAJA 14 C/VENTANA MED.30X10X7,51,,,
5128,ER-15 CAJA REGALO 18PTS MED.45X29X8.5,30,,,
5129A,ER 15 AZUL,6,,,
5129R,ER 15 ROJO,,,,
5129V,ER 15 VERDE,13,,,
5130,ER-16 CAJA REGALO 14PTS MED.12.5X8.5X4.5,27,,,
5131,ER-17 CAJA REGALO 14PTS MED.17X10X9,158,,,
5132,ER-18 CAJA REGALO 24PTS MED.49X32X12,26,,,
5133,JOYERIA ESPECIAL BLANCA  MED.7X5.5X3,,,,
5134AC,JOYERIA ESPECIAL COLOR AZUL CLARO,,,,
5134AF,JOYERIA ESPECIAL COLOR AZUL FUERTE,100,,,
5134CH,JOYERIA ESPECIAL COLOR CHOCOLATE,,,,
5134D,JOYERIA ESPECIAL COLOR DORADO,145,,,
5134P,JOYERIA ESPECIAL COLOR PLATA,97,,,
5134R,JOYERIA ESPECIAL COLOR ROJO MED.7X5.5X3,94,,,
5134ROSA,JOYERIA ESPECIAL COLOR ROSA,,,,
5134V,JOYERIA ESPECIAL COLOR VERDE,101,,,
5135AC,CAJA BOLITOS AZUL CIELO,0,,,
5135AF,CAJA BOLITOS AZUL FUERTE,63,,,
5135AM,CAJA BOLITOS AMARILLO,,,,
5135AZT,CAJA BOLITOS AZUL TURQUEZA,28,,,
5135BCO,CAJA BOLITOS BLANCO,135,,,
5135BGE,CAJA BOLITOS BEIGE,,,,
5135CH,CAJA BOLITOS COLOR CHOCOLATE,105,,,
5135D,CAJA BOLITOS DORADO,125,,,
5135K,CAJA BOLITOS KRAFT,77,,,
5135M,CAJA BOLITOS MORADO,,,,
