cod,desc,cant,estante,nivel,costo_unitario
3704,TUBO PORTAPLANO 66 cm,0,,,
3705,TUBO PORTAPLANO 33.5 cm,,,,
3801,TARJETERO GRANDE,19,,,
3802,TARJETERO MEDIANO,30,,,
3803,TARJETERO CHICO,14,,,
3916,FOLDER CARTA KRAFT,,,,
3917,FOLDER OFICIO KRAFT,,,,
3926,SOBRE TIPO BOLSA CARTA KRAFT,,,,
3927,SOBRE TIPO BOLSA OFICIO KRAFT,0,,,
3941,ARCHIVA CARTA ECOLOGICA,16,,,
3942,ARCHIVA OFICIO ECOLOGICA,1,,,
3943,REVIARCHIVO GRANDE ECOLOGICO,1,,,
3944,ARCHIVA GOB 1 ECOLOGICA,,,,
3946,SOBRE TIPO BOLSA K 1/2 CARTA,0,,,
4002,POLIPACK 1/8 X105,0,,,
4003,POLIPACK 1/16 X210,198,,,
4004,BURBUJA DE AIRE CHICA 3/16 (120 mts)                                   ,14,,,
4005,BURBUJA DE AIRE GDE 1/2 (60 mts)                                       ,15.5,,,
4006,POLIPACK 1/4X55,,,,
4101,MIC PACK(POR BOLSA),0,,,
4201,ROLLO CART�N CORRUGADO,6,,,
4202,MICROCORRUGADO 100 MTS,0,,,
4203,MICROCORRUGADO COLOR,,,,
4206,SERVICIO DE EMPAQUE                                                     ,0,,,
4207,LAMINA DE CORRUGADO 74x1.21,16,,,
4208,LAMINA DE CORRUGADO 1x1.50,3,,,
4209,LAMINA DOBLE CORRUGADO,,,,
4211,LAMINA MICRO BOND Y KRAFT,,,,
4212,L�MINA MICRO BOND Y KRAFT,,,,
4213,L�MINA CAPLE,,,,
4217,SEPARADOR P/12 BOTELLAS,5,,,
4301,ROLLO PAPELKRAFT (PRECIO X KILO),,,,
4302,ROLLO PAPELKRAFT(PRECIO X KILO),,,,
4303,ROLLO PAPELKRAFT(PRECIO X KILO),12,,,
4304,ROLLO PAPELKRAFT(PRECIO X KILO),,,,
4305,PAPELKRAFT 1.25 X METRO (180 MTS APROX),,,,
4401,CINTA PL�STICA CHICA,10,,,
4402,CINTA PL�STICA MEDIANA,34,,,
4403,CINTA PL�STICA GRANDE,12,,,
4404,"DESPACHADOR DE CINTA 2""",0,,,
4405,ENGOMADO 3,,,,
4406,ENGOMADO 2.5,6,,,
4407,ENGOMADO 2,,,,
4408,ENGOMADO 1,,,,
4412,CINTA IMPRESA FRAGIL,,,,
4502,MILLAR DE SELLOS 1/2,,,,
4503,FLEJADORA,,,,
4504,PINZAS PARA FLEJAR,,,,
4505,FLEJE 1/2 NATURAL PRECIO X KILO,,,,
4507,FLEJE 1/2 NEGRO PRECIO X KILO,,,,
4601,CUTTER GRANDE,11,,,
4603,CUTTER CHICO,,,,
4604,MARCADOR DE ACEITE,,,,
4605,SILICATO DE SODIO GAL�N,,,,
4606,BOLA RAFIA 1 KG APROX,3,,,
4609,ROLLO DE BLISTER 18�X1200 PIES,4,,,
4612,"ETIQUETA FRAGIL, HECHO EN MEXICO, COPA, ARRIBA",87,,,
4613,ESQUINEROS,,,,
4615,BOLA PAPEL ARROZ 200 MTS. APROX.,,,,
4618,ETIQUETA REMITENTE-DESTINATARIO (JGO),,,,
4619,CINTA MASKING TAPE,25,,,
4620,CINTA MASKING TAPE,,,,
4702,LE E7 ESTANTERA,3,,,
4703,LE E6 ESTANTERA,0,,,
4704,LE E5 ESTANTERA,25,,,
4705,LE E4 ESTANTERA,23,,,
4706,LE E3 ESTANTERA,30,,,
4707,LE E2 ESTANTERA,41,,,
4708,LE E01 ESTANTERA,8,,,
4709,LE E3 ESTANTERA ECON�MICA,,,,
4710,ORDENADOR DE CAJONES,12,,,
4801,CZ 06 SEIS PARES  32X26X28,25,,,
4802,CZ 12 DOCE PARES 33X27X55,6,,,
4803,CZ 18 DIESCIOCHO PARES 48X27X55,13,,,
4804,CZ 24 VEINTICUATRO PARES 48X35X55,27,,,
