cod,desc,cant,,,
5118V,ER-09 VERDE,50,,,
5119,ER 10   CAJA REGALO 14 PTS.,100,,,
5120,ER 11   CAJA REGALO 14 PTS.,0,,,
5121A,ER 11 COLOR AZUL,25,,,
5121R,ER-11 COLOR ROJO,25,,,
5121V,ER 11 COLOR VERDE,25,,,
5122,ER 11E  CAJA REGALO 14 PTS.,200,,,
5122EA,ER-11E ELEFANTE AZUL,25,,,
5122ER,ER-11E ELEFANTE ROSA,25,,,
5123,ER 12    CAJA REGALO 14 PTS.,100,,,
5124,ER 13    CAJA REGALO 14 PTS.,100,,,
5125A,ER 13 COLOR AZUL,25,,,
5125R,ER 13 COLOR ROJO MED.36X23X5.5,25,,,
5125V,ER 13 COLOR VERDE,25,,,
5126,ER 14      CAJA REGALO   ,100,,,
5127,ER 14V    CAJA REGALO C/VENTANA  ,100,,,
5128,ER 15      CAJA REGALO 14 PTS.,100,,,
5129A,ER 15 AZUL,25,,,
5129R,ER 15 ROJO,25,,,
5129V,ER 15 VERDE,25,,,
5130,ER 16      CAJA REGALO 14 PTS.,100,,,
5131,ER 17      CAJA REGALO 14 PTS.,100,,,
5132,ER 18      CAJA REGALO 14 PTS.,50,,,
5133,CAJA JOYERIA ESPECIAL,100,,,
5134AF,JOYERIA ESPECIAL COLOR AZUL FUERTE,25,,,
5134D,JOYERIA ESPECIAL COLOR DORADO,25,,,
5134P,JOYERIA ESPECIAL COLOR PLATA,25,,,
5134R,JOYERIA ESPECIAL COLOR ROJO ,25,,,
5134V,JOYERIA ESPECIAL COLOR VERDE,25,,,
5135AC,CAJA BOLITOS AZUL CIELO,25,,,
5135AF,CAJA BOLITOS AZUL FUERTE,25,,,
5135AM,CAJA BOLITOS AMARILLO,25,,,
5135AZT,CAJA BOLITOS AZUL TURQUESA,25,,,
5135BCO,CAJA BOLITOS BLANCO,25,,,
5135BGE,CAJA BOLITOS BEIGE,25,,,
5135CH,CAJA BOLITOS COLOR CHOCOLATE,25,,,
5135D,CAJA BOLITOS DORADO,25,,,
5135K,CAJA BOLITOS KRAFT,25,,,
5135L,CAJA BOLITOS LILA,25,,,
5135M,CAJA BOLITOS MORADO,25,,,
5135N,CAJA BOLITOS NEGRO,25,,,
5135P,CAJA BOLITOS PLATA,25,,,
5135R,CAJA BOLITOS ROJO,25,,,
5135RF,CAJA BOLITOS ROSA FIUSHA,25,,,
5135RP,CAJA BOLITOS ROSA PASTEL,25,,,
5135T,CAJA BOLITOS TIFFANY,25,,,
5135V,CAJA BOLITOS VERDE ,25,,,
5136,ER 19     CAJA REGALO 14 PTS ,50,,,
5137,CAJA PARA RELOJ  14 PTS.,100,,,
5138,CAJA JOYERIA ,100,,,
D5139AC,CAJA MUÑECA GRANDE AZUL CLARO,0,,,
5139AM,CAJA MUÑECA GRANDE AMARILLA,15,,,
5139AR,CAJA MUÑECA GRANDE AZUL REY,15,,,
5139L,CAJA MUÑECA GRANDE LILA,15,,,
5139N,CAJA MUÑECA GRANDENARANJA,15,,,
5139RF,CAJA MUÑECA GRANDE ROSA FIUSHA,15,,,
5139ROJO,CAJA MUÑECA GRANDE ROJO,15,,,
5139VF,CAJA MUÑECA GRANDE VERDE FUERTE,15,,,
5139VL,CAJA MUÑECA GRANDE VERDE LIMON,15,,,
5140AM,CAJA MUÑECA CHICA AMARILLO,15,,,
5140AR,CAJA MUÑECA CHICA AZUL REY,0,,,
5140BCA,CAJA MUÑECA CHICA BLANCA,15,,,
5140CH,CAJA MUÑECA CHICA COLOR CHOCOLATE,15,,,
5140L,CAJA MUÑECA CHICA LILA,15,,,
5140N,CAJA MUÑECA CHICA NARANJA,15,,,
5140R,CAJA MUÑECA CHICA ROJA,0,,,
5140RF,CAJA MUÑECA CHICA ROSA FIUSHA,15,,,
5140VF,CAJA MUÑECA CHICA VERDE FUERTE,15,,,
5141AM,CAJA MUÑECA MEDIANA AMARILLA,15,,,
5141AR,CAJA MUÑECA MEDIANA AZUL REY,15,,,
5141CH,CAJA MUÑECA MEDIANA CHOCOLATE,0,,,
5141L,CAJA MUÑECA MEDIANA LILA,15,,,
5141N,CAJA MUÑECA MEDIANA NARANJA,15,,,
5141ROJA,CAJA MUÑECA MEDIANA ROJA,15,,,
5141RF,CAJA MUÑECA MEDIANA ROSA FIUSHA,0,,,
5141VF,CAJA MUÑECA MEDIANA VERDE FUERTE ,15,,,
5141VL,CAJA MUÑECA MEDIANA VERDE LIMON,15,,,
5142,CAJA CAMIONCITO,25,,,
5143AC,CAJA MUÑECA MINI AZUL CLARO,25,,,
5143AM,CAJA MUÑECA MINI AMARILLA,25,,,
5143AR,CAJA MUÑECA MINI AZUL REY,25,,,
5143BCA,CAJA MUÑECA MINI BLANCA,25,,,
5143CH,CAJA MUÑECA MINI COLOR CHOCOLATE,25,,,
5143L,CAJA MUÑECA MINI LILA,25,,,
5143N,CAJA MUÑECA MINI NARANJA,25,,,
5143ROJA,CAJA MUÑECA MINI ROJA,25,,,
5143RF,CAJA MUÑECA MINI ROSA FIUSHA,25,,,
5143VC,CAJA MUÑECA MINI VERDE CLARO,25,,,
5143VF,CAJA MUÑECA MINI VERDE FUERTE,25,,,
5144M,ALCANCIA MURCIELAGO,0,,,
5144P,ALCANCIA PUERQUITO MEDIDA 10X10X13,25,,,
5144POLLO,ALCANCIA POLLITO,25,,,
5144T,ALCANCIA TORTUGA MEDIDA 10X10X13,25,,,
5144V,ALCANCIA VACA,25,,,
D5145,CAJA PINGÜINO ,0,,,
5147,CAJA PARA PALOMITA MINI KRAFT,100,,,
5148,CAJA P/TARJETA PRESENTACIÓN ,100,,,
5149A,CUBO MINI AZUL,25,,,
5149AM,CUBO MINI AMARILLO,25,,,
5149R,CUBO MINI ROJO ,25,,,
5149V,CUBO MINI VERDE,25,,,
5150A,LONCHERA COLOR AZUL,25,,,
5150AM,LONCHERA COLOR AMARILLA,25,,,
5150C,LONCHERA ZEBRA,25,,,
5150K,LONCHERA COLOR KRAFT,25,,,
5150LUNARNGO,LONCHERA LUNARES NEGRA,25,,,
5150LUNARROJO,LONCHERA LUNARES ROJO,25,,,
5150LUNARROSA,LONCHERA LUNARES ROSA,25,,,
5150M,LONCHERA COLOR MORADA,25,,,
5150N,LONCHERA COLOR NARANJA,25,,,
5150NGO,LONCHERA COLOR NEGRO,25,,,
5150RA,LONCHERA RAYAS,25,,,
5150ROJA,LONCHERA COLOR ROJA,25,,,
5150ROSA,LONCHERA COLOR ROSA,25,,,
5150V,LONCHERA COLOR VERDE,25,,,
5151,CAJA PARA CD CAPLE,100,,,
5153,CAJA P/PERFUME,100,,,
5154,CAJA PALOMITAS CHICA ,50,,,
5155A,ER-13 BEBE AZUL,25,,,
5155R,ER-13 BEBE ROSA,25,,,
5156,CASITA CAPLE BLANCA,25,,,
5157,CAJA CIRCO,100,,,
5159,CAJA PARA CORBATA,100,,,
5160OSO,BOLO OSITO,0,,,
5160P,BOLO PAYASO,0,,,
5161B,CUBO MINI CAPLE BOND,50,,,
5161K,CUBO MINI CAPLE KRAFT,50,,,
5162,HEXAGONO CAPLE KRAFT,50,,,
5163,FUNDA CD CAPLE KRAFT,100,,,
5164B,ALMOHADA MINI CAPLE BLANCO,50,,,
5164K,ALMOHADA MINI CAPLE KRAFT,50,,,
5165B,CAJA PARA DULCES TAPA INTEGRADA BLANCA,50,,,
5165K,CAJA PARA DULCES TAPA INTEGRADA KRAFT,50,,,
5166B,DULCERA CHICA CAPLE BLANCA,50,,,
5166K,DULCERA CHICA CAPLE KRAFT,50,,,
5167,MUÑECA MICRO CAPLE KRAFT,100,,,
5168B,CAJA SORPRESA CAPLE BLANCO,50,,,
5168K,CAJA SORPRESA CAPLE KRAFT,50,,,
5169B,ALMOHADA CHICA Y/O MEDIANA CAPLE BLANCO,50,,,
5169K,ALMOHADA CHICA Y/O MEDIANA CAPLE KRAFT,50,,,
5175,CAJA MUÑECA MINI 14 FEB,0,,,
5176,CAJA MUÑECA CH 14 FEB,15,,,
5177,CAJA MUÑECA MED 14 FEB,0,,,
5178,CAJA MUÑECA GDE 14 FEB,15,,,
5180LA,BOLSA EUROPA CHICA LOVE AZUL,10,,,
5180ROS,BOLSA EUROPA CHICA LOVE ROSA,10,,,
5181A,BOLSA EUROPA MEDIANA LOVE KRAFT AZUL,10,,,
5181R,BOLSA EUROPA MEDIANA LOVE KRAFT ROSA,10,,,
5182P,BOLSA EUROPA  GRANDE PARIS,10,,,
5182PTS,BOLSA EUROPA GRANDE PUNTOS EN MEDIDA 40X13X46.5,10,,,
5183L,PELUCHERA CH LOVE LETRAS COLOR,10,,,
5184,PELUCHERA MEDIANA KRAFT LOVE LETRAS VERDE,10,,,
D5185,PELUCHERA CAPLE 14 DE FEB GRANDE,0,,,
5187,PORTA RETRATO 14 FEB,0,,,
5188KA,LONCHERA MINI LOVE KRAFT AZUL,50,,,
5188KR,LONCHERA MINI LOVE KRAFT ROSA,50,,,
5191,CAJA PARA PALOMITAS GRANDE POPCORN,10,,,
5192,CAJA PARA PALOMITAS MEDIANA POPCORN,10,,,
5193PC,CAJA PARA PALOMITAS CHICA POP CORN,10,,,
5193R,CAJA PARA PALOMITAS CHICA RETRO,10,,,
5193Z,CAJA PARA PALOMITAS CHICA ZIG ZAG,10,,,
5196,CAJA TRENECITO CAPLE,25,,,
5197A,CUBO TURQUESA AZUL CON PLATA,10,,,
5197B,CUBO TURQUESA BE MINE,10,,,
5197R,CUBO TURQUESA ROJO CON PLATA,10,,,
5198,CUBO CHOCOLATE ,10,,,
5200,CAJA LUNARES SORPRESA,0,,,
5201,BOLSA CHICA SULFATADA ,25,,,
5202,BOLSA MEDIANA SULFATADA ,25,,,
5203,BOLSA GRANDE SULFATADA ,25,,,
5204,BOLSA SULFATADA MINI,50,,,
5205,CAMION BOMBERO,25,,,
5209A,HEXAGONO SULFATADO AZUL,25,,,
5209B,HEXAGONO SULFATADO BLANCO,25,,,
5209L,HEXAGONO SULFATADO LILA,25,,,
5209ROJO,HEXAGONO SULFATADO ROJO,25,,,
5209ROSA,HEXAGONO SULFATADO ROSA,25,,,
5209V,HEXAGONO SULFATADO VERDE,25,,,
5210AC,CAJA MUÑECA MIKRO SULFATADA AZUL CLARO ,25,,,
5210AT,CAJA MUÑECA MIKRO SULFATADA AZUL TURQUESA,25,,,
5210BCO,CAJA MUÑECA MIKRO SULFATADA BLANCO,25,,,
5210BGE,CAJA MUÑECA MIKRO SULFATADA BEIGE,25,,,
5210CHO,CAJA MUÑECA MIKRO SULFATADA CHOCOLATE,25,,,
5210D,CAJA MUÑECA MICRO SULFATADA DORADA,25,,,
5210L,CAJA MUÑECA MIKRO SULFATADA LILA,25,,,
5210M,CAJA MUÑECA MIKRO SULFATADA MORADA,25,,,
5210NGO,CAJA MUÑECA MIKRO SULFATADA NEGRA,25,,,
5210P,CAJA MUÑECA MIKRO SULFATADA PLATA,25,,,
5210R,CAJA MUÑECA MIKRO SULFATADA ROJO,25,,,
5210RC,CAJA MUÑECA MIKRO SULFATADA ROSA CLARO,25,,,
5210RF,CAJA MUÑECA MIKRO SULFATADA ROSA FIUSHA,25,,,
5210V,CAJA MUÑECA MIKRO SULFATADA VERDE,25,,,
5253,ALMOHADA TIPO BOLSA PAPÁ,10,,,
5253N,ALMOHADA TIPO BOLSA NAUTICA,10,,,
5254,LONCHERA GRANDE PAPÁ KRAFT,10,,,
5254K,LONCHERA GRANDE CUMPLE KRAFT,10,,,
5255,ER 06 MAMA CAPLE KRAFT,10,,,
5256,LONCHERA GRANDE MAMA KRAFT,10,,,
5257,ALMOHADA TIPO BOLSA MAMA KRAFT,10,,,
5258,CAJA YOURS TIPO SOBRE GRANDE,10,,,
5259K,DULCERA CORAZON KRAFT,25,,,
5259R,DULCERA CORAZON ROJA,25,,,
D5260A,CUBO CONTRAENCOLADO COLOR LISO AZUL 9X9X9,0,,,
D5260R,CUBO CONTRAENCOLADO COLOR LISO ROJO 9X9X9,0,,,
D5260V,CUBO CONTRAENCOLADO COLOR LISO VERDE 9X9X9,0,,,
D5261A,CUBO CONTRAENCOLADO COLOR LISO AZUL 20X20X20,0,,,
D5261R,CUBO CONTRAENCOLADO COLOR LISO ROJO 20X20X20,0,,,
D5261V,CUBO CONTRAENCOLADO COLOR LISO VERDE 20X20X20,0,,,
D5262A,CUBO CONTRAENCOLADO COLOR LISO AZUL 30X30X30,0,,,
D5262R,CUBO CONTRAENCOLADO COLOR LISO ROJO 30X30X30,0,,,
D5262V,CUBO CONTRAENCOLADO COLOR LISO VERDE 30X30X30,0,,,
D5263A,CUBO CONTRAENCOLADO COLOR LISO AZUL 40X40X40,0,,,
D5263R,CUBO CONTRAENCOLADO COLOR LISO ROJO 40X40X40,0,,,
D5263V,CUBO CONTRAENCOLADO COLOR LISO VERDE 40X40X40,0,,,
5264,CAJA VIZCAINO BABY GIRL,0,,,
5265,CAJA VIZCAINO BABY BOY,15,,,
5266A,LONCHERA BE MINE AZUL,15,,,
5266R,LONCHERA BE MINE ROSA,15,,,
5267,CUBO TU,25,,,
5269,ALMOHADA CORAZON,15,,,
5269K,ALMOHADA KRAFT TE AMO,15,,,
5270,CAJA VIZCAINO DUDE,15,,,
5272,ER 06 YOU & ME,15,,,
5273A,CAJA MULTIUSOS TRUE LOVE AZUL,15,,,
5273R,CAJA MULTIUSOS TRUE LOVE ROSA,15,,,
5274,CAJA VIZCAINO KEEP CALM,15,,,
5275AM,CONTENEDOR AMARILLO,25,,,
5275AZ,CONTENEDOR AZUL,25,,,
5275BCO,CONTENEDOR BLANCO,25,,,
5275K,CONTENEDOR KRAFT,25,,,
5275M,CONTENEDOR MORADO,25,,,
5275N,CONTENEDOR NARANJA,25,,,
5275NGO,CONTENEDOR NEGRO,25,,,
5275ROJO,CONTENEDOR ROJO,25,,,
5275ROSA,CONTENEDOR ROSA,25,,,
5275V,CONTENEDOR VERDE,25,,,
5276HB,CAJA VIZCAINO HAPPY BIRTHDAY,15,,,
5277,CAJA LUNARES CON CORAZON,15,,,
5278,CAJA TIPO FRACK,50,,,
5279,CAJA TIPO VESTIDO DE NOVIA,50,,,
5280,BOLSA FRANKY,0,,,
5281,CAJA I LOVE YOU,15,,,
5283,CAJA EMPAQUE CORAZON CHICA 26 ECT,10,,,
5284,CAJA EMPAQUE CORAZON MEDIANA 26 ECT,10,,,
5285,CAJA EMPAQUE CORAZON GRANDE 26 ECT,10,,,
5286,CUBO SURPRISE,15,,,
5287L,CAJA MUÑECA  LOVE KRAFT,25,,,
5287ROJA,CAJA MUÑECA RAYAS ROJA 18X15.5X1018X15.5X10,25,,,
5287ROSA,CAJA MUÑECA RAYAS ROSA 18X15.5X10,25,,,
5288ABC,CAJA HAPPY DAY ABC 13.5X13.5X28,10,,,
5288HD,CAJA HAPPY DAY  13.5X13.5X28,10,,,
5288SK,CAJA HAPPY DAY SURPRISE KRAFT,10,,,
5289,ALCANCIA FANTASMA ,0,,,
5290C,LONCHERA CALABAZA,0,,,
5290V,LONCHERA VAMPIRO,0,,,
5291,CAJA VIZCAINO LOVE,15,,,
5292,LONCHERA SIEMPRE TU,15,,,
5293,CAJA YOURS TIPO SOBRE CHICO,10,,,
5294N,CAJA CORAZON NEGRO,15,,,
5294R,CAJA CORAZON ROJO,15,,,
5296,MUÑECA MINI LOVE,25,,,
5297,CUBO KRAFT CORAZON,25,,,
5301,PASTELERA SUPER,50,,,
5302,PASTELERAGRANDE,50,,,
5303,PASTELERA MEDIANA,100,,,
5304,PASTELERA CHICA ,100,,,
5306,PASTELERA CHICA ALTA,100,,,
5307,CHAROLA DON BOSCO,50,,,
5308,CAJA TIPO MOKA,50,,,
5309,PASTELERA ESPECIAL MINI,100,,,
5311,CAJA PARA PAPA GRANDE,100,,,
5312,CAJA PARA PAPA CHICA,100,,,
5313,CAJA T/AMOHADA PARA PAY ,100,,,
5314,CAJA PARA HAMBURGUESA,100,,,
5315,CHAROLA PARA REBANADA DE PIZZA,100,,,
5316,CAJA PARA REBANADA DE PIZZA,100,,,
5317,CAJA PARA SANDWICH,100,,,
5318,CHAROLA PARA HOT DOG,100,,,
5319B,CONO PARA CREPA BOND,100,,,
5319K,CONO PARA CREPA KRAFT,100,,,
5320,CAJA PARA 4 CUP CAKE CON TAMBOR C/VENT,25,,,
5321,CAJA PARA 9 CUP CAKE CON TAMBOR C/VENT,25,,,
5322,CAJA PARA 6 CUP CAKE CON TAMBOR C/VENT,25,,,
5323,CAJA PARA 12 CUP CAKE CON TAMBOR C/VENT,25,,,
5324,CAJA PARA 1 CUP CAKE CON TAMBOR C/VENT,25,,,
5325,CAJA PARA 2 CUP CAKE CON TAMBOR C/VENT,25,,,
5326A,CAJA PARA 1 CUP CAKE  AZUL C/VENTANA DE ACETATO,25,,,
5326CH,CAJA PARA 1 CUP CAKE CHOCOLATE C/VENTANA DE ACETATO,25,,,
5326R,CAJA PARA 1 CUP CAKE FIUSHA C/VENTANA DE ACETATO,17,,,
5326VL,CAJA PARA 1 CUP CAKE VERDE LIMON C/VENTANA DE ACETATO,0,,,
5402,LONCHERA MEX BOX  KRAFT 29 ECT,15,,,
5403,LONCHERA SUPER ,100,,,
5404,LONCHERA GRANDE MED.21.5X13X14,100,,,
5405,LONCHERA MEDIANA,100,,,
5406,LONCHERA CHICA ,100,,,
5407,LONCHERA GRANDE KRAFT IMPRESA,25,,,
5408B,LONCHERA BLANCA CON VENTANA OVALADA C/ACETATO ,25,,,
5408K,LONCHERA KRAFT CON VENTANA OVALADA C/ACETATO ,25,,,
5410AC,"DULCERA GRANDE AZUL CLARO_x000D_
",25,,,
5410AF,DULCERA GRANDE AZUL REY,25,,,
5410AM,DULCERA GRANDE AMARILLA 22PTS MED.19.9X11X8.5,25,,,
D5410M,DULCERA GRANDE MORADO,0,,,
5410N,DULCERA GRANDE NARANJA,25,,,
5410R,DULCERA GRANDE ROJA,25,,,
D5410RL,DULCERA GRANDE ROJA LISA,0,,,
5410ROSA,DULCERA GRANDE ROSA,25,,,
5410VF,DULCERA GRANDE VERDE FUERTE,25,,,
5410VL,DULCERA GRANDE VERDE LIMON,25,,,
5411AC,DULCERA CHICA AZUL CLARO,25,,,
5411AF,DULCERA CHICA AZUL REY 18PTS MED.10.5X8.5X7,25,,,
5411AM,DULCERA CHICA AMARILLA,25,,,
5411N,DULCERA CHICA NARANJA,25,,,
5411ROJO,DULCERA CHICA ROJO,25,,,
5411ROSA,DULCERA CHICA ROSA,25,,,
5411VF,DULCERA CHICA VERDE FUERTE,25,,,
5411VL,DULCERA CHICA VERDE LIMON,25,,,
5412A,DULCERA CHICA LUNARES AZUL,25,,,
5412R,DULCERA CHICA LUNARES ROSA,25,,,
5413A,DULCERA LISA COLOR AZUL,25,,,
D5413AM,DULCERA LISA COLOR AMARILLA,0,,,
5413C,DULCERA CONEJO,25,,,
D5413D,DULCERA LISA COLOR DORADA,0,,,
5413H,DULCERA HALLOWEEN,25,,,
5413L,DULCERA LAPICES,25,,,
5413M,DULCERA LISA COLOR MORADA,25,,,
D5413NA,DULCERA NIÑO AZUL,0,,,
D5413NR,DULCERA NIÑA ROSA,0,,,
D5413P,DULCERA POLLITO,0,,,
5413PL,DULCERA LISA COLOR PLATA,25,,,
5413R,DULCERA LISA COLOR ROJA,25,,,
D5413RO,DULCERA LISA COLOR ROSA,0,,,
5414F,DULCERA FELICIDADES,25,,,
5414H,DULCERA HALLOWEN,0,,,
5418,LONCHERA MEDIANA DIA DEL NIÑO,0,,,
5494,MUÑECA MINIATURA DE ACETATO,0,,,
5495,CAJA BOLITO DE ACETATO,25,,,
5496,HEXAGONO MINIATURA DE ACETATO ,0,,,
5497,ER 01 CAJA REGALO 14  PTS. CON TAPA DE ACETATO,50,,,
5498,ER 03 CAJA REGALO 14  PTS. CON TAPA DE ACETATO,50,,,
5499,ER 06 CAJA REGALO 14  PTS. CON TAPA DE ACETATO,50,,,
5501,DISCO CHICO P/PASTEL,25,,,
5502,DISCO MEDIANO P/PASTEL,25,,,
5503,DISCO GRANDE P/PASTEL,25,,,
5504,BASE ROSCA  MEDIANA,10,,,
5505,BASE ROSCA CHICA,10,,,
5506,BASE ROSCA GRANDE,10,,,
5507,CAJA ROSCA GRANDE MICRO,10,,,
5508,CAJA ROSCA MEDIANA MICRO,0,,,
5509,CAJA ROSCA CHICA MICRO,10,,,
5510,CAJA ROSCA GRANDE MICRO,0,,,
5511,CAJA ROSCA MEDIANA MICRO,10,,,
5512,CAJA ROSCA CHICA MICRO,10,,,
5601,CAJA JUMBO MICRO,25,,,
5602,CAJA VESTIDO DE NOVIA,25,,,
5603,CAJA PARA RAMO DE NOVIA,25,,,
5604,CAJA PARA RAMO XV AÑOS,25,,,
5605,CAJA PARA RAMO XV AÑOS,25,,,
5606,ARCHIALTA,50,,,
5607,ARCHIMINI,50,,,
5608,CUBO MICRO BLANCO,50,,,
5609,CAJA GIS,50,,,
5610,CAJA MICRO BOND HO,50,,,
5611,CAJA VELA GRANDE MICRO,50,,,
5612,CAJA VELA CHICA MICRO,50,,,
5613,CUBO REHILETE,50,,,
5614,CAJA CREMA GDE.   MICRO KRAFT,50,,,
5615,CAJA CREMA CHICA MICRO KRAFT,50,,,
5619,CUBO MICRO KRAFT,25,,,
5623,CUBO MICRO KRAFT,25,,,
5624,CUBO MICRO KRAFT,25,,,
5625,CENTRO DE MESA MICRO KRAFT GRANDE,50,,,
5626,BOLSA MICRO KRAFT GRANDE,50,,,
5627,CUBO MICRO KRAFT ,50,,,
5628,CASITA MICRO KRAFT,25,,,
5629,VELA MINI MICRO BOND,50,,,
5630,CAJA DOBLE GIS ,50,,,
5631,BOLSA MICRO KRAFT CHICA,50,,,
5632,CENTRO DE MESA MICRO KRAFT CHICO,50,,,
5634,ORDENADOR DE CAJON CORTO 44 ECT,15,,,
5637,CAJA BOTELLA MICRO KRAFT ,25,,,
5638,CUBO MICRO KRAFT ,10,,,
5639,CUBO MICRO KRAFT ,25,,,
5640,LONCHERA SIX MICRO KRAFT ,25,,,
5703A,PARASOL NO.3 AVIONETA,2,,,
5703B,PARASOL NO.3 BANDERA,2,,,
5703F,PARASOL NO.3 FASHION,2,,,
5703CG,PARASOL NO.3 CIUDAD DE GUADALAJARA,2,,,
5703M,PARASOL NO.3 MOSTACHO,2,,,
5703GG,PARASOL NO.3 GUADALAJARA ,2,,,
5801,PIZZA 0 BOND,50,,,
5802,PIZZA 0 KRAFT,50,,,
5803,PIZZA 1 BOND,50,,,
5804,PIZZA 1 KRAFT,50,,,
5807,PIZZA 3 BOND,50,,,
5808,PIZZA 3 KRAFT,50,,,
5809,PIZZA 4 BOND,50,,,
5810,PIZZA 4 KRAFT,50,,,
5811,PIZZA 4A BOND,50,,,
5812,PIZZA 4A KRAFT,50,,,
5813,PIZZA 5 BOND,50,,,
5814,PIZZA 5 KRAFT,50,,,
5815,PIZZA 5A BOND,50,,,
5816,PIZZA 5A KRAFT,0,,,
5818,PIZZA 30CM BOND,50,,,
5819,PIZZA 30CM KRAFT,50,,,
5820,PIZZA 36CM BOND,50,,,
5821,PIZZA 36CM KRAFT,50,,,
5901,CAJA SINGLE No. 3,100,,,
5902,CAJA SINGLE No. 6,100,,,
5903,CAJA SINGLE No. 13,100,,,
5904,PASTELERA MEDIANA SINGLE,100,,,
5905,ALMOHADA GRANDE SINGLE ,50,,,
5906,COFRE MINI SINGLE,100,,,
5907,COFRE MEDIANO SINGLE,100,,,
5908,COFRE GRANDE SINGLE,100,,,
5909,LONCHERA CHICA SINGLE,100,,,
5910,CAJA P/BOTELLA SINGLE,50,,,
5911,BOLSA SINGLE CHICA,100,,,
5913,CUBO SINGLE,100,,,
5914,SOBRE SINGLE T/CARTA,50,,,
5916,BOLO SINGLE TIPO ALCANCIA,100,,,
5917,BOLSA SINGLE MEDIANA,50,,,
5918,BOLSA SINGLE GRANDE,50,,,
5920,ALMOHADA MINI SINGLE,100,,,
5921,CAJA PARA CD SINGLE,100,,,
5922,CAJA SINGLE No.11,100,,,
5923,CAJA SINGLE No.15,100,,,
5924,LONCHERA MEDIANA SINGLE,100,,,
5929,CUBO SORPRESA SINGLE,50,,,
5930,ALMOHADA CHICA SINGLE,100,,,
5931,CENTRO DE MESA SINGLE MEDIANO,100,,,
5932,CENTRO DE MESA SINGLE GRANDE,100,,,
5933,CENTRO DE MESA SINGLE MINI,100,,,
5934,COFRE CORRUGADO,0,,,
5935,DULCERO GRANDE SINGLE,100,,,
5936,DULCERO CHICA SINGLE ,100,,,
5937,CENTRO DE MESA PLANO GRANDE SINGLE,100,,,
5938,CENTRO DE MESA PLANO CHICO SINGLE,100,,,
5939,COFRE CORRUGADO JUMBO,25,,,
5940,CUBO SINGLE HO,100,,,
5941,ALMOHADA JUMBO SINGLE,50,,,
6001D,CAJA JOYERIA #32 DORADA,5,,,
6001P,CAJA JOYERIA #32 PLATEADA,5,,,
6002D,CAJA PULSERA #33 DORADA,5,,,
6002P,CAJA PULSERA #33 PLATEADA,5,,,
6003,CAJA DORADA Y PLATEADA  ,15,,,
6004,CAJA DECORADA,5,,,
6005D,CAJA RELOJ #82 DORADA,5,,,
6005P,CAJA RELOJ #82 PLATEADA,5,,,
6006D,CAJA COLLAR #75 DORADA,5,,,
6006P,CAJA COLLAR #75 PLATEADA,5,,,
6007,PAPEL REGALO DISNEY,50,,,
6008,PAPEL REGALO COUCHE,50,,,
6009,PAPEL REGALO KRAFT,50,,,
6010AC,PAPEL DE CHINA AZUL CIELO,0,,,
6010AMC,PAPEL DE CHINA AMARILLO CANARIO,0,,,
6010AMF,PAPEL DE CHINA AMARILLO FUERTE,0,,,
6010AR,PAPEL DE CHINA AZUL REY,0,,,
6010AZM,PAPEL DE CHINA AZUL MARINO,0,,,
6010BCO,PAPEL DE CHINA BLANCO,0,,,
6010BE,PAPEL DE CHINA BEIGE,0,,,
6010C,PAPEL DE CHINA CAFÉ,0,,,
6010F,PAPEL DE CHINA FIUSHA,0,,,
6010G,PAPEL DE CHINA GRIS ,0,,,
6010K,PAPEL DE CHINA COLOR KRAFT,0,,,
6010L,PAPEL DE CHINA LILA,0,,,
6010M,PAPEL DE CHINA MORADO,0,,,
6010N,PAPEL DE CHINA NARANJA,0,,,
6010NEG,PAPEL DE CHINA NEGRO,0,,,
6010ROJO,PAPEL DE CHINA ROJO,0,,,
6010ROSA,PAPEL DE CHINA ROSA,0,,,
6010T,PAPEL DE CHINA TINTO,0,,,
6010VB,PAPEL DE CHINA VERDE BANDERA,0,,,
6010VL,PAPEL DE CHINA VERDE LIMON,0,,,
6011AC,MOÑO MAGICO MEDIANO AZUL CIELO,0,,,
6011AM,MOÑO MAGICO MEDIANO AMARILLO,0,,,
6011AR,MOÑO MAGICO MEDIANO AZUL REY,0,,,
6011BCO,MOÑO MAGICO MEDIANO BLANCO,0,,,
6011D,MOÑO MAGICO MEDIANO DORADO,0,,,
6011ROJO,MOÑO MAGICO MEDIANO ROJO,0,,,
6011ROSA,MOÑO MAGICO MEDIANO ROSA,0,,,
6011V,MOÑO MAGICO MEDIANO VERDE,0,,,
6011SC,MOÑO MAGICO MEDIANO SURTIDO CLARO,0,,,
6011SF,MOÑO MAGICO MEDIANO SURTIDO FUERTE,0,,,
6012AC,MOÑO MAGICO CHICO AZUL CIELO,0,,,
6012AM,MOÑO MAGICO CHICO AMARILLO,0,,,
6012AR,MOÑO MAGICO CHICO AZUL REY,0,,,
6012BCO,MOÑO MAGICO CHICO BLANCO,0,,,
6012D,MOÑO MAGICO CHICO DORADO,0,,,
6012ROJO,MOÑO MAGICO CHICO ROJO,0,,,
6012ROSA,MOÑO MAGICO CHICO ROSA,0,,,
6012V,MOÑO MAGICO CHICO VERDE,0,,,
6012SC,MOÑO MAGICO CHICO SURTIDO CLARO,0,,,
