cod,desc,price,bu,line,class,type,sat_key,unit,color
4914SG,Cr 10 caja reg sg 40x30x20,10.39766,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4915,Cr 03 caja reg 26 ect 30x15x20,7.79636,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4916,Cr 01 caja reg 26 ect 19x15x15,6.17526,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4917,Cr 02 caja reg 26 ect 20x16x13,6.17526,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4918,Cr 75 caja reg 32 ect 80x50x50,67.92786,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4919,Cr 05 caja reg 26 ect 14x14x28,6.17526,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4920,Cr 08 caja reg 26 ect 25x16x16,6.8237,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4921,Cr 04 caja reg 26 ect 32x22x13,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4922,Cr cubo caja reg  29 ect 60x60x60,79.29818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4923,Cr 50 dc caja reg 42 ect 50x40x25,43.55104,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4924,Cr 09 caja reg 26 ect 38x26.5x12,10.39766,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4925,Cr 25 caja reg 26 ect 30x30x30,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4925SG,Cr 25 caja reg sg 30x30x30,10.07344,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4926,Cr 35 caja reg 26 ect 45x45x45,40.62552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4927,Gobierno chico 26 ect 29x24x30,14.6276,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4928,Gobierno grande 29 ect 36.5x26x29,17.87734,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4929,Gobierno super 29 ect 46.5x36.5x40,35.42292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4930,Serfin 29 ect 60x30x30,32.17318,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4930SG,Serfin sg 60x30x30,14.6276,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4931,Pastelera kraft eco. 29 ect 30x30x14,15.27604,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4932,Cr 63 caja reg 29ect 63x36x26,31.52474,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4934,Cr 85 dc 42 ect 70x40x40,59.47552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4935,Gobierno chico navideña 26 ect 29x24x30,15.60026,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4936,Cr-12 caja regular  29 ect 15x15x95,15.60026,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5003,Cr 57 caja reg 23 ect 1.00x60x50,77.67708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5020,Caja para corona 29 ect 60x22x60,47.125,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5021,Caja para árbol de navidad 29 ect 35x35x1.50,90.35182,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5023,Caja p/corona  29 ect 80x19x80,65.65078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5101,Er 00   caja regalo 14  pts. 14x9.5x2.5,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5102,Er 01   caja regalo 14  pts. 14.5x12.5x5,2.27708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5103,Er 02   caja regalo 14  pts. 17x12.5x5,2.92552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5104,Er 03   caja regalo 14  pts. 20x14x5,3.24974,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5105,Er 04   caja regalo 14  pts. 13x13x10,5.52682,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5106,Er 04e caja regalo 14 pts. 8x8x8,2.92552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5108,Er 05 caja regalo 14 pts. 22x16x5,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5109,Er 05v caja regalo c/ ventana 14 pts. 22x16x5,5.52682,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5110,Er 06   caja regalo 14 pts. 25.5x20x6.5,5.85104,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5111,Er 06 caja regalo  happy birthday 25.5x20x6.5,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5112,Er 6b   caja regalo bebe  14 pts. 25.5x20x6.5,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5113,Er 6v   caja regalo c/ventana 14 pts. 25.5x20x6.5,6.8237,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5114,Er 06c   caja regalo color 14 pts. 25.5x20x6.5,8.12812,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5115,Er 07   caja regalo 14 pts. 24x14x8,4.54662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5116,Er 08   caja regalo 14 pts. 28x20x3,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5117,Er 09   caja regalo 14 pts. 11x6.5x3,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5118,Er 09c caja regalo color 11x6.5x3,1.95286,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5119,Er 10   caja regalo 14 pts. 23x15.5x12.5,8.12812,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5120,Er 11   caja regalo 14 pts. 39.5x24.5x9,10.39766,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5121,Er 11c caja regalo color 39.5x24.5x9,13.32318,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5122,Er 11e  caja regalo 14 pts. 35x21x9,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5123,Er 12    caja regalo 14 pts. 11x8x2.5,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5124,Er 13    caja regalo 14 pts. 36x23x5.5,6.8237,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5125,Er 13c caja regalo color 36x23x5.5,9.425,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5126,Er 14      caja regalo    26.5x10x7,4.54662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5127,Er 14v    caja regalo c/ventana   30x10x7,7.14792,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5128,Er 15      caja regalo 14 pts. 45x29x8.5,11.70208,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5129,Er 15c   caja regalo color 14 pts. 45x29x8.5,14.95182,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5130,Er 16      caja regalo 14 pts. 12.5x8.5x4.5,1.95286,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5131,Er 17      caja regalo 14 pts. 17x10x9,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5132,Er 18      caja regalo 14 pts. 49x32x12,20.47864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5133,Caja joyeria especial 7x5.5x3,1.29688,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5134,Caja joyeria especial color    7x5.5x3,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5135,Caja bolitos   4x4x4,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5136,Er 19     caja regalo 14 pts  32x30x8,9.74922,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5137,Caja para reloj  14 pts. 22x5x3,3.24974,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5138,Caja joyeria  5x3.5x1.5,0.97266,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5139,Caja muñeca grande color 32x18x15,9.425,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5140,Caja muñeca chica color 11x11x11,5.85104,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5141,Caja muñeca med. Color 15x18x11,8.45234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5142,Caja camioncito 18.5x7.5x10,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5143,Caja muñeca mini esp color 9x9x9,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5144,Alcancia tortuga y puerquito 10x10x13,6.8237,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5145,Caja pingüino  10x7x15,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5147,Caja para palomita mini kraft 7x7x13,3.24974,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5148,Caja p/tarjeta presentación blanca 9.5x5.5x3,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5149,Cubo mini color  7.5x7.5x5,2.92552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5150,Lonchera rayas y zebra 16x8.5x10,4.54662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5151,Caja para cd caple 15x13x2.5,2.27708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5153,Caja p/perfume 5.5x6x11,1.95286,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5154,Caja palomitas chica blanca 7.5x7.5x19,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5155,Er 13b   caja regalo bebe   36x23x5.5,9.425,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5156,Casita caple blanca 13x11x8,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5159,Caja para corbata 33x10x3.5,4.54662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5161,Cubo mini caple kraft 7.5x7.5x5,1.95286,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5162,Hexagono caple kraft 6x9,2.6013,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5163,Funda cd caple kraft 12.5x12.5,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5164,Almohada mini caple kraft 8x7x2.5,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5165,Caja caple kraft tapa integrada 12.5x11x4.5,2.27708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5166,Dulcera chica caple kraft 10.5x8.5x7,2.27708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5167,Muñeca micro caple kraft 7x7x5.5,2.27708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5168,Caja sorpresa caple kraft 5x4x6,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5169,Almohada mediana caple kraft 16x15x4,2.27708,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5175,Caja muñeca mini 14 feb 9x9x9,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5176,Caja muñeca ch 14 feb 11x11x11,5.85104,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5177,Caja muñeca med 14 feb 15x18x11,8.45234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5178,Caja muñeca gde 14 feb 32x18x15,10.07344,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5180,Bolsa europa 14 feb chica 21.5x10.5x28,11.37786,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5181,Bolsa europa 14 feb mediana 31x12x36,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5182,Bolsa europa 14 feb grande 40x13x46.5,25.02526,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5183,Peluchera caple 14 feb chica 15x9.5x16.5,8.12812,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5184,Peluchera caple 14 feb mediana 20x13x28,13.6474,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5185,Peluchera caple 14 feb grande 29x19x38,26.32214,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5188,Lonchera mini love 14x11x10,5.85104,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5191,Caja para palomitas grande 14 feb 13x13x29,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5192,Caja para palomitas mediana 14 feb 10x10x20,10.39766,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5193,Caja para palomitas chica 14 feb 7.5x7.5x19,6.8237,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5196,Caja trenecito caple 16x11x14,8.45234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5197,Cubo turquesa  y rojo 15x15x15,7.14792,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5198,Cubo chocolate  21x21x21,16.2487,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5201,Bolsa chica sulfatada  9.5x9.5x12,1.95286,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5202,Bolsa mediana sulfatada  18.5x11.5x16,5.85104,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5203,Bolsa grande sulfatada  18.5x11.5x24,8.12812,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5204,Bolsa sulfatada mini 6x3x9,1.62864,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5205,Camion bombero 17x9x9,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5209,Hexagono sulfatado 6x9,4.54662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5210,Muñeca sulfatada 7x7x5.5,3.24974,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5253,Almohada con agarradera papa ,13.32318,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5254,Lonchera grande papa ,11.70208,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5255,Er 06 mama caple kraft 25.5x20x6.5,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5256,Lonchera grande mama caple kraft ,11.70208,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5257,Almohada con agarradera mama caple kraft ,12.01876,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5258,Caja yours tipo sobre grande ,13.6474,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5259,Dulcera ventana corazon roja y kraft ,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5260,Cubo contraencolado color liso 20x20x20,18.85,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5261,Cubo contraencolado color liso 30x30x30,29.90364,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5262,Cubo contraencolado color liso 40x40x40,49.07786,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5263,Cubo contraencolado color liso 9x9x9,9.425,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5264,Caja vizcaino baby girl 33x23.5x7.5,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5265,Caja vizcaino baby boy 33x23.5x7.5,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5266,Lonchera be mine 16x8.5x10,4.2224,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5267,Cubo tu 8.5x8.5x8.5,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5269,Almohada corazon  26x24x6,6.17526,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5270,Caja vizcaino dude 33x23.5x7.5,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5271,Caja vizcaino happy day 14 feb 33x23.5x7.5,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5272,Er 06 you & me 25.5x20x6.5,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5273,Caja multiusos true love 27x14.5x20.5,12.67474,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5274,Caja vizcaino keep calm 33x23.5x7.5,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5275,Contenedor color 7.5x7.5x9,2.6013,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5276,Caja vizcaino 14 de feb y happy birthday 33x23.5x7.5,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5277,Caja lunares con corazon 16x11x14,8.45234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5278,Caja tipo frack 7x2.5x11,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5279,Caja tipo vestido de novia 7x2.5x11,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5280,Bolsa franky 10x6x13,3.89818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5281,Caja i love you 30x15x6,12.0263,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5283,Caja empaque corazon chica 26 ect 19x15x15,10.39766,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5284,Caja empaque corazon mediana 26 ect 25x16x16,13.6474,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5285,Caja empaque corazon grande 26 ect 30x15x20,16.57292,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5286,Cubo surprice 21x21x21,11.37786,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5287,Caja muñeca rayas 18x15.5x10,8.12812,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5288,Caja happy day 13.5x13.5x28,10.07344,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5289,Alcancia fantasma  10x10x13 ,6.8237,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5290,Lonchera calabaza 16x9x10,4.54662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
5291,Caja vizcaino love 33x23.5x7.5,16.57292,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5292,Lonchera siempre tu 16x9x10,4.54662,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5293,Caja yours tipo sobre  20x15x4,6.17526,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5294,Caja corazon rojo y negro  19x5x5,7.14792,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5296,Muñeca mini love 14x11x10,3.89818,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5297,Cubo kraft corazon 8.5x8.5x8.5,3.89818,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5301,Pastelera super 39x39x12,16.89714,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5302,Pasteleragrande 33x33x12,14.30338,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5303,Pastelera mediana 30x30x12,13.6474,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5304,Pastelera chica  27x27x8,6.17526,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5305,Pay chica alta 24x24x10,10.39766,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5306,Pastelera chica alta 27x27x12,9.74922,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5307,Charola don bosco 41x11x3.5,2.92552,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5308,Caja tipo moka 40x14x12,8.45234,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5309,Pastelera especial mini 20x20x10,6.8237,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5311,Caja para papa grande 9x6x12,1.95286,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5312,Caja para papa chica 7x4x9.8,1.62864,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5313,Caja para pay (almohada) 13x9x3.5,1.62864,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5314,Caja para hamburguesa 14x14x6.5,2.27708,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5315,Charola para rebanada de pizza 17x19x2,1.62864,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5316,Caja para rebanada de pizza 22.5x23.5x3.5,3.24974,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5317,Caja para sandwich 12x10x10,1.95286,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5318,Charola para hot dog 14.5x5.5x4,1.62864,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5319,Cono para crepa 15.5x14,1.95286,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5320,Caja para 4 cup cake con tambor c/vent 16x16x7,7.14792,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5321,Caja para 9 cup cake con tambor c/vent 24x24x10,11.37786,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5322,Caja para 6 cup cake con tambor c/vent 25x17x7.5,8.45234,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5323,Caja para 12 cup cake con tambor c/vent 34x25x7,14.30338,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5324,Caja para 1 cup cake con tambor c/vent 9x9x9,3.89818,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5325,Caja para 2 cup cake con tambor c/vent 17x9.5x8,4.87838,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5326,Caja para 1 cup cake color con tambor c/vent ,4.54662,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5402,Lonchera mex box  kraft 29 ect 30x15x19,14.6276,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5403,Lonchera super  20x12.3x20.5,7.14792,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5404,Lonchera grande 21.5x13x14,6.8237,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5405,Lonchera mediana 17x12x14,5.52682,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5406,Lonchera chica  17.5x11x7.5,4.2224,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5407,Lonchera grande kraft impresa 21.5x13x14,11.70208,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5408,Lonchera con ventana de acetato 16x7.5x9,4.54662,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5410,Dulcera grande  19.9x11x8.5,5.52682,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5411,Dulcera chica  10.5x8.5x7,3.24974,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5412,Dulcera lunares chica 11x9x7,3.89818,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5414,Dulcera mediana felicidades 16x10x9.5,4.2224,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5495,Caja bolito de acetato 5x5x5,3.89818,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5496,Hexagono miniatura de acetato  ,3.89818,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5497,Er 01 caja regalo 14  pts. Con tapa de acetato 14.5x12.5x5,6.17526,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5498,Er 03 caja regalo 14  pts. Con tapa de acetato 20x14x5,8.45234,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5499,Er 06 caja regalo 14  pts. Con tapa de acetato 25.5x20x6.5,14.30338,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5501,Disco chico p/pastel 25 cm ,2.6013,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5502,Disco mediano p/pastel 28 cm ,2.92552,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5503,Disco grande p/pastel 35 cm ,3.24974,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5504,Base rosca  mediana 60x40,7.14792,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5505,Base rosca chica 45x35,4.54662,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5506,Base rosca grande 65x45,7.79636,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5507,Caja rosca grande micro 67x45x8,16.89714,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5508,Caja rosca mediana micro 58x46x6,14.6276,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
5509,Caja rosca chica micro 34x37x6,8.45234,Diseños de Cartón,empaque y embalaje,de línea,caja,24112500,Pieza,kraft
