cod,desc,price,bu,line,class,type,sat_key,unit,color
2324,Estuchep/pluma 17x5x2,10.39766,Comercializadora de Cartón y Diseño,oficina,de línea,caja,14121500,Pieza,kraft
2326,Joyero rectangular  26.5x12x8,63.04948,Comercializadora de Cartón y Diseño,oficina,de línea,caja,14121500,Pieza,kraft
2327,Octagono 25x25x14,67.27188,Comercializadora de Cartón y Diseño,oficina,de línea,caja,14121500,Pieza,kraft
2328,Porta clips 11x7x7,19.82266,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2401,Pc archivo 80 super 55 ect 78x40x30,99.12838,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2402,Pc archivo 70 oficio largo 55 ect 60x35x25,77.02864,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2403,Pc archivo 50 oficio 55 ect 50x35x25,65.00234,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2404,Pc archivo 40 carta 55 ect 50x31x25,59.1513,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2405,Pc archivo 30 mixto 55 ect 38x30x25,55.57734,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2406,Pc archivo 20 1/2 carta largo 44 ect 50x23x16,48.75364,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2407,Pc archivo 10 1/2 carta 44 ect 25x23x16,38.34844,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2409,Pc archivo 60 carta larga 55 ect 60x31x25,67.27188,Comercializadora de Cartón y Diseño,oficina,de línea,caja,24112500,Pieza,kraft
2410,Pc archivo 55 archivo carpeta 55 ect 50x35x29,67.60364,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2413,Pc archivo 40 blanca alta 44 ect 50x31x25,59.47552,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2501,Dc archivo 70 oficio larga económica 40 ect 60x35x25,54.27292,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2502,Dc archivo 60 carta larga económica 40 ect 60x31x25,46.80078,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2503,Dc archivo 50 oficio económica 40 ect 50x35x25,44.84792,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2504,Dc archivo 40 carta económica 40 ect 50x31x25,39.97708,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2505,Dc archivo 30 archivo mixta económica 40 ect 38x30x25,39.65286,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2506,Dc archivo 55 archivo carpeta 40 ect 50x35x29,51.3474,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2602,Eco 40 archivo carta 26 ect 50x31x25,18.85,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2603,Eco 50 archivo oficio 26 ect 50x35x25,21.77552,Diseños de Cartón,oficina,de línea,caja,24112500,Pieza,kraft
2804,Archidiario 44 ect 39x17.5x30,106.92474,Diseños de Cartón,oficina,de línea,caja,24121500,Pieza,kraft
2900,Sobre jiffylite # 0 16x22,3.24974,Diseños de Cartón,oficina,de línea,caja,24121500,Pieza,kraft
2901,Sobre jiffylite # 1 18.5x27.5,4.2224,Diseños de Cartón,oficina,de línea,caja,24121500,Pieza,kraft
2902,Sobre jiffylite # 2 21.5x30.5,4.87838,Diseños de Cartón,oficina,de línea,caja,24121500,Pieza,kraft
2903,Sobre jiffylite # 4 24x37,6.17526,Diseños de Cartón,oficina,de línea,caja,24121500,Pieza,kraft
2904,Sobre jiffylite # 5 27x37,8.12812,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
2905,Sobre jiffylite # 7 36.5x50.5,12.0263,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
2906,Sobre jiffylite # 000 12x18,2.6013,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
2907,Sobre manila t/carta 23x30.5,1.62864,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
2908,Sobre manila t/oficio 26x34,2.27708,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3103,Archigaveta oficio largo 44 ect 40x64.5x28,181.6763,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3203,Archiva oficio corr. Bond 44 ect 35x10x26.5,23.72838,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3204,Archiva carta corr. Bond  44 ect 31x10x26.5,21.77552,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3401,Maletin micro blanco 35x27x9,32.82162,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3402,Maletin blanco corrugado 44 ect 37.5x26x10.5,52.00338,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3404,Sobre ecológico carta 44 ect 34.5x24.5x2.8,17.87734,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3405,Sobre ecológico t/oficio 44 ect 36x25.5x3,20.14688,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3501,Reviarchivo grande 29 ect 26.5x12x25.9,24.0526,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3502,Reviarchivo chico 26 ect 23x10x24,18.85,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3503,Revistero chico c/e vintage y turqueza 23x10x25,16.89714,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3206,Archiva gob 1 44 ect 38x12x30,29.57188,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3601,Archiva gob 1 economica 29 ect 38x12x30,15.60026,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3602,Archiva gob 2 44 ect 38x19x30,31.52474,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3701,Tubo portaplano  1.09 cm,31.20052,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3702,Tubo portaplano  91.5 cm,26.32214,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3703,Tubo portaplano  78 cm,22.42396,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3704,Tubo portaplano  66 cm,21.4513,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3705,Tubo portaplano  33.5,15.92448,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3801,Tarjetero grande 44 ect 22x14x13,23.72838,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3802,Tarjetero mediano 44 ect 15.5x10.5x11,16.57292,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3803,Tarjetero chico 44 ect 13.5x8.5x9,11.05364,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
3912,Carpeta c/herraje de argolla 3/4 carta kraft ,50.05052,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
3913,"Carpeta c/herraje de argolla 1"" carta kraft ",58.17864,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
3914,"Carpeta c/herraje de argolla 2"" carta kraft ",66.62344,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
3915,"Carpeta c/herraje de argolla 3"" carta kraft ",107.8974,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
3916,Folder carta kraft  29.6x23.5,1.95286,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
3917,Folder oficio kraft  34.6x23.5,2.27708,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3922,Dispenser unipecos kraft ,33.14584,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3924,Lapicero con divisiones kraft ,22.74818,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3925,Portatarjetas kraft ,19.49844,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
3926,Sobre tipo bolsa carta kraft  ,1.95286,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
3927,Sobre tipo bolsa oficio kraft  ,2.27708,Diseños de Cartón,oficina,de línea,bolsa,14111500,Pieza,kraft
3932,Libreta forma francesa kraft ,60.44818,Diseños de Cartón,oficina,de línea,bolsa,14111500,Pieza,kraft
